callsign,origin,destination,aircraft_type,time,cargo
AAL1666,KCLT,KCHS,A320,09:17,false
JIA5151,KCLT,KDAB,CRJ9,09:17,false
AAL2967,KCVG,KCLT,A320,09:18,false
AAL895,KCLT,MMUN,A321,09:18,false
AAL1533,KCLT,KBOS,B738,09:19,false
AAL2133,KBDL,KCLT,B738,09:19,false
ENY4083,KSGF,KCLT,E75L,09:19,false
N38603,KCLT,KGMU,P28A,09:20,false
AAL1297,KMCI,KCLT,B738,09:21,false
AAL1890,KCLT,KGRR,A320,09:22,false
AAL2966,KPWM,KCLT,B738,09:22,false
JIA5294,KCLT,KMHT,CRJ9,09:23,false
JIA5612,KBTR,KCLT,CRJ7,09:25,false
PDT5799,KCLT,KGSP,E145,09:25,false
JIA5326,KCLT,KORF,CRJ7,09:26,false
JIA5403,KHPN,KCLT,CRJ7,09:26,false
PDT5817,KCLT,KGPT,E145,09:26,false
PDT6048,KCAE,KCLT,E145,09:26,false
AAL2828,KCLT,KTPA,B738,09:28,false
PDT5897,KSBY,KCLT,E145,09:29,false
AAL1525,KMCO,KCLT,A321,09:30,false
AAL1784,KORD,KCLT,A321,09:30,false
PDT5916,KCLT,KSBY,E145,09:30,false
AAL894,KMSP,KCLT,A319,09:31,false
JIA5175,KECP,KCLT,CRJ9,09:31,false
PDT6073,KCLT,KLYH,E145,09:31,false
AAL2011,KIAH,KCLT,B738,09:32,false
JIA5020,KCLT,CYYZ,CRJ9,09:32,false
PDT5793,KGSO,KCLT,E145,09:33,false
AAL2103,KPNS,KCLT,A319,09:34,false
AAL1119,KSAT,KCLT,B738,09:35,false
N38CG,KCLT,KELM,CRJ2,09:35,false
SWA148,KBWI,KCLT,B737,09:35,false
PDT5950,KCLT,KTYS,E145,09:36,false
PDT6016,KAGS,KCLT,E145,09:36,false
AAL2087,KFLL,KCLT,A321,09:37,false
JIA5446,KCLT,KXNA,CRJ9,09:37,false
N930WD,KCLT,KFTY,TBM9,09:38,false
AAL1039,KCID,KCLT,A319,09:39,false
PDT5824,KCLT,KJAN,E145,09:39,false
AAL2185,KVPS,KCLT,A319,09:40,false
JIA5377,KCLT,KROC,CRJ9,09:40,false
JIA5676,KSAV,KCLT,CRJ7,09:40,false
AAL1042,KOMA,KCLT,B738,09:42,false
N665T,KCLT,KTEB,C68A,09:42,false
PDT6030,KCLT,KAVL,E145,09:42,false
AAL1853,KDJT,KCLT,A321,09:43,false
AAL2854,KDSM,KCLT,A320,09:43,false
FFT1384,KCLT,KPHL,A321,09:43,false
