callsign,origin,destination,aircraft_type,time,cargo
DAL2437,KMSP,KGEG,B739,12:19,false
SWA3743,KMSP,KMDW,B737,12:20,false
DAL2651,KMSP,KSLC,B739,12:29,false
DAL2575,KMSP,KGPI,A320,12:35,false
DAL1048,KMSP,KATL,B752,12:45,false
EDV4680,KMSP,KHPN,CRJ9,12:45,false
DAL2225,KMSP,KMCO,B753,12:45,false
DAL362,KMSP,KMSO,BCS1,12:45,false
DAL2695,KMSP,KMSY,A321,12:45,false
DAL402,KMSP,KRSW,B739,12:45,false
DAL2574,KMSP,KSAV,BCS1,12:45,false
DAL2843,KMSP,KBNA,B739,12:50,false
DAL2558,KMSP,KBOS,A321,12:50,false
DAL3113,KMSP,KCVG,BCS1,12:50,false
ENY3796,KMSP,KDCA,E75L,12:50,false
EDV5490,KMSP,KDSM,CRJ7,12:51,false
DAL2661,KMSP,KJFK,BCS1,12:54,false
DAL1519,KMSP,KDTW,B739,12:55,false
SKW3865,KMSP,KGRR,CRJ9,12:55,false
DAL2910,KMSP,KIND,B738,12:55,false
SKW4032,KMSP,KMSN,E75L,12:55,false
SKW3967,KMSP,KRAP,CRJ9,12:55,false
DAL2327,KMSP,KMYR,BCS1,12:56,false
DAL2392,KMSP,KJAX,A320,12:57,false
SKW4262,KMSP,KABR,CRJ7,13:00,false
SKW4283,KMSP,KBJI,CRJ7,13:00,false
DAL2756,KMSP,KLGA,B739,13:00,false
SKW4284,KMSP,KXWA,CRJ7,13:00,false
DAL1651,KMSP,KLAX,A21N,13:02,false
EDV4774,KMSP,KFAR,CRJ7,13:04,false
SKW4242,KMSP,KCIU,CRJ7,13:05,false
SKW4236,KMSP,KHIB,CRJ7,13:05,false
SKW5570,KMSP,KORD,E75L,13:08,false
JIA5658,KMSP,KPHL,CRJ9,13:08,false
SKW4330,KMSP,KGFK,CRJ7,13:10,false
SKW4266,KMSP,KINL,CRJ7,13:10,false
JZA850,KMSP,CYUL,CRJ9,13:10,false
EDV4971,KMSP,KPIT,CRJ9,13:12,false
FFT3199,KMSP,KDEN,A21N,13:16,false
DAL2946,KMSP,KBZN,B739,13:17,false
DAL2264,KMSP,KTPA,A321,13:19,false
SKW3595,KMSP,KICT,CRJ9,13:23,false
DAL1533,KMSP,KORD,BCS1,13:25,false
EDV5335,KMSP,KTYS,CRJ7,13:27,false
SCX919,KMSP,KRDU,B738,13:30,false
SKW3823,KMSP,CYWG,E75L,13:31,false
DAL171,KMSP,RKSI,A359,13:35,false
UAL1305,KMSP,KDEN,A320,13:36,false
SKW4167,KMSP,KSTL,CRJ9,13:36,false
AAL2153,KMSP,KCLT,A320,13:39,false
SCX345,KMSP,KMCO,B738,13:40,false
DAL1613,KMSP,KMCI,BCS1,13:45,false
SCX1947,KMSP,KCLT,B738,13:50,false
SWA2967,KMSP,KDEN,B38M,13:50,false
LYM5110,KMSP,KTVF,E145,13:50,false
DAL2006,KMSP,KMKE,BCS1,13:54,false
ENY3719,KMSP,KORD,E170,14:02,false
DAL2866,KMSP,KEWR,BCS1,14:10,false
SCX605,KMSP,KPHX,B738,14:10,false
SKW3861,KMSP,KATW,CRJ9,14:20,false
DAL1042,KMSP,KAUS,A21N,14:20,false
SCX633,KMSP,KBNA,B738,14:20,false
SKW3843,KMSP,KGRB,CRJ9,14:20,false
SKW4314,KMSP,KSAW,CRJ7,14:20,false
DAL2699,KMSP,KRDU,B739,14:20,false
DAL2580,KMSP,KSAT,BCS1,14:20,false
EDV5017,KMSP,KSDF,CRJ7,14:20,false
FFT3046,KMSP,KATL,A20N,14:24,false
DAL2594,KMSP,KPHL,BCS1,14:25,false
DAL2658,KMSP,KSLC,A21N,14:25,false
DAL2285,KMSP,KBDL,BCS1,14:26,false
DAL1025,KMSP,KDEN,A321,14:27,false
EDV4906,KMSP,KCID,CRJ7,14:28,false
SKW3783,KMSP,KIAD,CRJ9,14:30,false
SCX105,KMSP,KLAS,B738,14:30,false
SKW4012,KMSP,KXNA,E75L,14:34,false
SKW3538,KMSP,KFSD,CRJ9,14:36,false
DAL2963,KMSP,KDCA,BCS1,14:37,false
EDV4982,KMSP,KCWA,CRJ7,14:39,false
SKW3686,KMSP,KDLH,E75L,14:40,false
SCX407,KMSP,KSAN,B738,14:40,false
DAL2565,KMSP,KBWI,BCS3,14:41,false
DAL2644,KMSP,KIAH,BCS3,14:45,false
SKW3851,KMSP,KRAP,CRJ9,14:45,false
DAL2971,KMSP,KDFW,A320,14:47,false
AAL1750,KMSP,KPHX,B738,14:47,false
SCX425,KMSP,KLAX,B738,14:50,false
DAL1542,KMSP,KLAS,B739,14:51,false
DAL2284,KMSP,KPHX,B739,14:54,false
SKW4130,KMSP,KMOT,CRJ9,14:55,false
SCX1701,KMSP,KSLC,B738,14:55,false
WJA1531,KMSP,CYEG,B737,14:55,false
ASA555,KMSP,KSEA,B739,14:56,false
SCX285,KMSP,KSEA,B738,15:00,false
KLM656,KMSP,EHAM,B789,15:05,false
SCX395,KMSP,KSFO,B738,15:05,false
WJA1811,KMSP,CYYC,B38M,15:05,false
DAL756,KMSP,KSFO,A21N,15:07,false
SCX655,KMSP,KDEN,B738,15:10,false
AAL2145,KMSP,KDFW,B738,15:11,false
DAL2591,KMSP,KBOS,A21N,15:15,false
DAL2821,KMSP,KCLT,A319,15:15,false
SCX295,KMSP,KPDX,B738,15:15,false
SKW4473,KMSP,KRST,E75L,15:15,false
DAL877,KMSP,KSEA,A321,15:15,false
DAL3185,KMSP,KSTL,BCS1,15:15,false
SKW4147,KMSP,CYWG,E75L,15:15,false
UAL1531,KMSP,KORD,A319,15:16,false
SKW4270,KMSP,KIMT,CRJ7,15:20,false
DAL1630,KMSP,KMCI,BCS1,15:20,false
DAL1306,KMSP,KORD,BCS3,15:20,false
UAL1367,KMSP,KSFO,A320,15:20,false
SKW4080,KMSP,CYYZ,CRJ9,15:20,false
DAL1749,KMSP,KBUF,A320,15:22,false
SKW3935,KMSP,KBIS,E75L,15:25,false
SCX499,KMSP,KIND,B738,15:25,false
SKW3709,KMSP,KPIT,CRJ9,15:25,false
DAL2612,KMSP,KBNA,A321,15:29,false
SKW3948,KMSP,KOMA,CRJ9,15:29,false
DAL2732,KMSP,KLGA,B739,15:30,false
DAL1885,KMSP,KMCO,B752,15:30,false
EDV4915,KMSP,KTVC,CRJ9,15:30,false
DAL2113,KMSP,KCMH,BCS1,15:35,false
DAL1449,KMSP,KCLE,BCS1,15:39,false
EDV4913,KMSP,KDSM,CRJ9,15:40,false
SCX261,KMSP,KORD,B738,15:40,false
DAL1456,KMSP,KIND,B739,15:45,false
DAL2114,KMSP,KLAX,B739,15:45,false
SKW4063,KMSP,KMEM,E75L,15:45,false
DAL703,KMSP,KCVG,B739,15:50,false
SCX1879,KMSP,KRAP,B738,15:50,false
WEN3817,KMSP,CYQR,DH8D,15:50,false
OCN53,KMSP,EDDF,A333,15:55,false
SCX1925,KMSP,KTVC,B738,15:55,false
JZA720,KMSP,CYYZ,CRJ9,15:55,false
DAL1028,KMSP,KATL,A321,15:58,false
DAL2008,KMSP,KPDX,B739,15:58,false
DAL160,KMSP,EHAM,A359,16:00,false
SWA2962,KMSP,KBNA,B38M,16:00,false
SCX1913,KMSP,KGRR,B738,16:00,false
DAL1555,KMSP,KGRR,BCS1,16:02,false
RPA4727,KMSP,KORD,E75L,16:03,false
SCX219,KMSP,KCVG,B738,16:05,false
EDV4923,KMSP,KSDF,CRJ7,16:13,false
AAL2157,KMSP,KPHL,A319,16:14,false
DAL1476,KMSP,KDTW,A321,16:15,false
SWA2971,KMSP,KMDW,B738,16:15,false
DAL152,KMSP,LFPG,A333,16:30,false
SCX1491,KMSP,KCMH,B738,16:35,false
EDV4714,KMSP,KMDW,CRJ7,16:40,false
SKW4331,KMSP,KGFK,CRJ7,16:45,false
UAL2272,KMSP,KDEN,A319,16:51,false
EDV5331,KMSP,KMSN,CRJ7,16:51,false
ASA510,KMSP,KSEA,B739,16:57,false
SKW4462,KMSP,KMKE,E75L,16:58,false
EDV4782,KMSP,KFAR,CRJ7,16:59,false
RPA3678,KMSP,KIAD,E75L,17:05,false
FFT3223,KMSP,KDFW,A20N,17:09,false
UAL658,KMSP,KORD,A320,17:13,false
DAL1036,KMSP,KATL,B739,17:18,false
LYM5120,KMSP,KTVF,E145,17:30,false
DAL1435,KMSP,KDTW,A320,17:35,false
SWA2974,KMSP,KSTL,B738,17:40,false
UAL283,KMSP,KIAH,A319,17:42,false
DAL2130,KMSP,KORD,BCS1,17:45,false
JIA5416,KMSP,KDCA,CRJ7,17:46,false
AAL2151,KMSP,KCLT,A319,17:47,false
SKW4301,KMSP,KBRD,CRJ7,17:55,false
SKW4233,KMSP,KRHI,CRJ7,17:55,false
SWA2963,KMSP,KBWI,B38M,18:00,false
RPA4465,KMSP,KORD,E75L,18:02,false
DAL377,KMSP,PANC,B752,18:10,false
DAL1502,KMSP,KBOS,A321,18:10,false
DAL1055,KMSP,PAFA,B739,18:10,false
EDV5244,KMSP,KJFK,CRJ9,18:10,false
SKW4464,KMSP,KMKE,CRJ9,18:10,false
SKW3791,KMSP,KOKC,E75L,18:10,false
DAL730,KMSP,KABQ,BCS1,18:11,false
DAL2607,KMSP,KSLC,B739,18:13,false
SKW4299,KMSP,KATY,CRJ7,18:15,false
DAL2307,KMSP,KBIS,BCS1,18:15,false
DAL2278,KMSP,KFAR,A320,18:15,false
DAL2385,KMSP,KTPA,B752,18:15,false
ASA1434,KMSP,KPDX,B738,18:17,false
SKW3912,KMSP,KDLH,CRJ9,18:20,false
SKW4143,KMSP,KMOT,CRJ9,18:20,false
DAL2560,KMSP,KRNO,B738,18:20,false
UAL467,KMSP,KDEN,B738,18:23,false
SKW4024,KMSP,KOMA,CRJ9,18:25,false
DAL762,KMSP,KPSC,BCS1,18:25,false
DAL2107,KMSP,KSNA,BCS3,18:28,false
EIN88,KMSP,EIDW,A21N,18:30,false
SKW3578,KMSP,KFSD,CRJ9,18:30,false
DAL2087,KMSP,KSJC,BCS1,18:30,false
DAL2151,KMSP,KPDX,A21N,18:34,false
DAL2962,KMSP,KDCA,BCS3,18:35,false
DAL258,KMSP,EIDW,A332,18:35,false
DAL2773,KMSP,KSAT,BCS3,18:35,false
DAL1026,KMSP,KATL,A321,18:37,false
DAL2683,KMSP,KIAH,BCS1,18:40,false
DAL2485,KMSP,CYYC,A320,18:40,false
SKW5390,KMSP,KORD,E75L,18:41,false
DAL2977,KMSP,CYVR,A320,18:42,false
DAL2931,KMSP,KDEN,B739,18:45,false
