callsign,origin,destination,aircraft_type,time,cargo
FFT1085,KMCO,KPHX,A321,09:00,false
AAL609,KMCO,KCLT,A321,09:01,false
DAL2845,KMCO,KDTW,A21N,09:02,false
DAL1505,KMCO,KATL,A321,09:05,false
FFT1285,KMCO,KBNA,A21N,09:05,false
FFT2885,KMCO,KDFW,A21N,09:05,false
DAL347,KMCO,KSEA,A21N,09:05,false
SWA2703,KMCO,TJSJ,B738,09:05,false
FFT2529,KMCO,KDTW,A321,09:07,false
SWA2612,KMCO,KBWI,B38M,09:10,false
SWA19,KMCO,KDAL,B38M,09:10,false
UAL1227,KMCO,KEWR,B739,09:10,false
UAL2611,KMCO,KIAH,B739,09:10,false
SWA2684,KMCO,KPIT,B38M,09:10,false
JBU94,KMCO,KHPN,A320,09:12,false
MXY418,KORF,KMCO,BCS3,09:12,false
AAL2084,KCLT,KMCO,A321,09:13,false
SWA2759,KBWI,KMCO,B737,09:15,false
UAL788,KEWR,KMCO,B39M,09:16,false
SWA371,KISP,KMCO,B38M,09:20,false
SWA2420,KMCO,MDPC,B38M,09:20,false
DAL1003,KDCA,KMCO,A319,09:22,false
SWA4146,KAUS,KMCO,B38M,09:25,false
SWA148,KPIT,KMCO,B738,09:25,false
MXY246,KCAK,KMCO,BCS3,09:27,false
MXY716,KPVD,KMCO,BCS3,09:27,false
AAL2075,KMCO,KDFW,A321,09:30,false
SWA4655,KMCO,KIND,B738,09:30,false
SWA2574,KMCO,KMSY,B738,09:30,false
SWA2872,TJSJ,KMCO,B738,09:30,false
FFT3624,KCVG,KMCO,A20N,09:32,false
SWA550,KMCO,KBNA,B737,09:35,false
UAL1893,KMCO,KIAD,B39M,09:37,false
FFT1446,KMCO,KCLT,A321,09:38,false
DAL2555,KDTW,KMCO,A21N,09:40,false
UAL2683,KMCO,KORD,A21N,09:40,false
UAL284,KORD,KMCO,A21N,09:40,false
DAL1164,KLGA,KMCO,A321,09:43,false
AAL2499,KMCO,KPHL,A21N,09:43,false
AAL2093,KPHL,KMCO,A21N,09:44,false
SWA1434,KDAL,KMCO,B737,09:45,false
DAL504,KMCO,KLAX,A21N,09:45,false
JBU670,KMCO,KRIC,A320,09:45,false
JBU2423,KDCA,KMCO,A320,09:46,false
FDX605,KMCO,KMEM,B763,09:47,true
AAL3173,KDFW,KMCO,B738,09:50,false
SWA1908,KMCO,KDCA,B737,09:50,false
JBU599,KLGA,KMCO,A320,09:52,false
MXY419,KMCO,KORF,BCS3,09:52,false
SWA3550,KBWI,KMCO,B738,09:55,false
JBU656,KMCO,KSYR,A320,09:55,false
SWA292,KMCO,MKJS,B38M,09:55,false
SWA181,KMCO,MROC,B38M,09:55,false
SWA3837,KSTL,KMCO,B737,09:55,false
DAL1213,KATL,KMCO,A21N,09:58,false
JBU1076,KPVD,KMCO,A320,09:58,false
DAL2049,KJFK,KMCO,A21N,09:59,false
FFT1241,KMCO,KATL,A20N,10:00,false
SWA2630,KMCO,KDEN,B38M,10:00,false
UAL1022,KMCO,KDEN,B753,10:00,false
JBU384,KMCO,KJFK,A321,10:00,false
AAL2240,KMCO,KMIA,A319,10:00,false
UAL2017,KMCO,KSFO,B39M,10:00,false
AAL2084,KMCO,KCLT,A321,10:03,false
SWA4183,KHOU,KMCO,B38M,10:05,false
DAL2204,KMCO,KATL,B752,10:05,false
SWA1187,KMCO,KCMH,B38M,10:05,false
JBU2547,KMCO,KFLL,A320,10:05,false
DAL1730,KMSP,KMCO,B739,10:07,false
MXY716,KMCO,KEYW,BCS3,10:10,false
SWA617,MYNN,KMCO,B737,10:10,false
DAL1580,KBOS,KMCO,A321,10:11,false
MXY310,KMCO,KMSY,BCS3,10:12,false
AAL3273,KDCA,KMCO,B738,10:14,false
JBU2695,KHPN,KMCO,A320,10:14,false
SWA3812,KBNA,KMCO,B38M,10:15,false
FFT1875,KMCO,KLAS,A21N,10:15,false
JBU737,KBDL,KMCO,BCS3,10:16,false
DAL1003,KMCO,KDCA,A319,10:20,false
SWA1424,KMCO,KELP,B38M,10:20,false
AAL3114,KLGA,KMCO,A321,10:22,false
UAL2120,KMCO,KEWR,B39M,10:22,false
AAL1712,KMIA,KMCO,A319,10:22,false
SWA3011,KMSY,KMCO,B737,10:25,false
UAL2636,KCLE,KMCO,B39M,10:27,false
DAL511,KCVG,KMCO,B738,10:30,false
SWA3240,KMCO,KAUS,B738,10:30,false
FFT4230,KMCO,KIAD,A20N,10:31,false
UAL2675,KEWR,KMCO,B739,10:34,false
AAL1748,KMCO,KLAX,A21N,10:34,false
FFT1432,KMSY,KMCO,A20N,10:36,false
AAY192,KABE,KMCO,A320,10:38,false
VXP715,KHVN,KMCO,B738,10:39,false
WJA1032,CYYZ,KMCO,B38M,10:40,false
SWA986,KBWI,KMCO,B737,10:40,false
AAL2088,KMCO,KDCA,B738,10:40,false
SWA4416,KMCO,KMDW,B738,10:40,false
SWA782,KMCO,MDPC,B738,10:40,false
SWA489,KPIT,KMCO,B38M,10:40,false
UAE2J,OMDB,KMCO,B77L,10:40,false
DAL2031,KMCO,KSLC,A21N,10:45,false
JBU588,KMCO,KORH,A320,10:47,false
DAL1164,KMCO,KLGA,A321,10:48,false
AAL2067,KORD,KMCO,B738,10:48,false
AAL2119,KDFW,KMCO,A321,10:49,false
ROU1670,CYYZ,KMCO,A319,10:50,false
SWA4854,KDEN,KMCO,B737,10:50,false
UAL2245,KIAH,KMCO,B739,10:51,false
UAL2466,KMCO,KORD,A21N,10:52,false
FFT1807,KPHL,KMCO,A321,10:52,false
SWA382,KATL,KMCO,B38M,10:55,false
SWA1377,KDAL,KMCO,B738,10:55,false
SWA4999,KMCO,TIST,B38M,10:55,false
DAL1658,KATL,KMCO,A321,10:57,false
SWA1456,KMCO,KPHL,B38M,11:00,false
SWA318,KMCO,MMUN,B737,11:00,false
JBU133,KMCO,TJSJ,A320,11:00,false
JBU183,KJFK,KMCO,BCS3,11:02,false
AAL1712,KMCO,KMIA,A319,11:02,false
DAL1213,KMCO,KATL,A21N,11:05,false
FFT2667,KMCO,KCLE,A21N,11:05,false
DAL2049,KMCO,KJFK,A21N,11:05,false
SWA3379,KMCO,KPIT,B38M,11:05,false
SWA912,KMCO,MWCR,B737,11:05,false
JBU2548,KFLL,KMCO,A320,11:08,false
UAL379,KIAD,KMCO,B39M,11:08,false
AAL3114,KMCO,KLGA,A321,11:12,false
AAL2101,KPHL,KMCO,A321,11:12,false
JBU184,KMCO,KJFK,BCS3,11:15,false
UAL2280,KORD,KMCO,A21N,11:15,false
DAL1580,KMCO,KBOS,A321,11:16,false
AAL2124,KMCO,KDFW,B738,11:16,false
DAL1730,KMCO,KMSP,B739,11:17,false
FFT1056,KCLE,KMCO,A20N,11:19,false
SWA3608,KMCO,KOMA,B737,11:20,false
SWA5060,KSTL,KMCO,B38M,11:20,false
JBU85,KBUF,KMCO,A320,11:22,false
DAL1455,KDTW,KMCO,A321,11:23,false
VXP714,KMCO,KHVN,B738,11:24,false
DAL511,KMCO,KCVG,B738,11:25,false
SWA3970,KMCO,KHOU,B737,11:25,false
SWA2865,KMCO,KLAS,B737,11:25,false
SWA2816,KMDW,KMCO,B738,11:25,false
AVA202,SKRG,KMCO,A320,11:25,false
AAL2104,KDCA,KMCO,A320,11:28,false
AAY203,KMCO,KABE,A320,11:28,false
WJA1411,KMCO,CYYC,B38M,11:30,false
JBU2266,MDST,KMCO,BCS3,11:30,false
FFT1565,KMCO,KCVG,A20N,11:31,false
JBU729,TJBQ,KMCO,A320,11:34,false
SWA568,KBNA,KMCO,B38M,11:35,false
UAL486,KMCO,KCLE,B39M,11:35,false
SWA554,KMCO,KDAL,B738,11:35,false
JBU770,KMCO,KRIC,A320,11:36,false
JBU1406,MDSD,KMCO,BCS3,11:36,false
AAL2067,KMCO,KORD,B738,11:38,false
DAL2259,KAUS,KMCO,B738,11:40,false
SWA1637,KMCO,KBWI,B38M,11:40,false
AAL2073,KMCO,KCLT,A321,11:40,false
SWA3423,KMKE,KMCO,B738,11:40,false
JBU194,KMCO,KHPN,A320,11:42,false
UAL2321,KDEN,KMCO,B39M,11:44,false
SWA4718,KAUS,KMCO,B38M,11:45,false
UAL663,KMCO,KEWR,B739,11:45,false
FFT4646,KDEN,KMCO,A21N,11:47,false
ROU1675,KMCO,CYYZ,A319,11:50,false
SWA1443,KMCO,TNCA,B38M,11:50,false
JBU2840,MYNN,KMCO,A320,11:51,false
CMP239,KMCO,MPTO,B738,11:52,false
SWA3658,KBWI,KMCO,B738,11:55,false
SWA600,KMCO,MYNN,B737,11:55,false
SWA3581,KSAT,KMCO,B738,11:55,false
AAL2074,KCLT,KMCO,A321,11:57,false
UAL1493,KMCO,KIAH,B739,11:57,false
FFT3856,KMCO,KPHL,A321,11:59,false
DAL664,KATL,KMCO,A321,12:00,false
SWA5061,KMCO,KSTL,B38M,12:00,false
AAL2101,KMCO,KPHL,A321,12:02,false
JBU1033,KMCO,TJSJ,A320,12:02,false
SWA2130,KIND,KMCO,B38M,12:05,false
DAL1658,KMCO,KATL,A321,12:05,false
MXY267,KHSV,KMCO,BCS3,12:07,false
FFT2013,KTTN,KMCO,A20N,12:07,false
AAL2104,KMCO,KDCA,A320,12:13,false
SWA1873,KMCO,TNCM,B738,12:15,false
AAL2735,KBOS,KMCO,B738,12:16,false
JBU698,KMCO,KLGA,A320,12:17,false
FFT2867,TJSJ,KMCO,A321,12:17,false
SCX341,KMSP,KMCO,B738,12:22,false
VOC4000,MROC,KMCO,A20N,12:22,false
SWA4715,KMCO,KMCI,B38M,12:25,false
JBU351,KBOS,KMCO,A320,12:27,false
JBU241,KMCO,MYNN,A320,12:27,false
FFT1482,KDFW,KMCO,A20N,12:28,false
DAL1455,KMCO,KDTW,A321,12:28,false
SWA1171,KBWI,KMCO,B738,12:30,false
SWA291,KMCO,TJSJ,B738,12:30,false
UAL2475,KMCO,KORD,A21N,12:34,false
DAL2259,KMCO,KAUS,B738,12:35,false
SWA2604,KMCO,KBNA,B738,12:35,false
JBU252,KMCO,KBOS,BCS3,12:35,false
SWA2874,KMCO,KORF,B738,12:35,false
SWA579,KMEM,KMCO,B737,12:35,false
SWA3483,KSTL,KMCO,B38M,12:35,false
FFT2834,KMKE,KMCO,A320,12:36,false
ACA1092,CYUL,KMCO,B38M,12:37,false
JBU768,TJPS,KMCO,A320,12:37,false
JBU1085,KBUF,KMCO,BCS3,12:38,false
AMX440,MMMX,KMCO,B39M,12:39,false
SWA4712,KBNA,KMCO,B737,12:40,false
FFT187,KMCO,MGGT,A20N,12:40,false
SWA1102,KMDW,KMCO,B38M,12:40,false
POE581,CYYZ,KMCO,E295,12:45,false
CMP446,MPTO,KMCO,B738,12:45,false
AAL2074,KMCO,KCLT,A321,12:48,false
VIR91U,EGLL,KMCO,A333,12:50,false
UAL1520,KMCO,KDEN,B39M,12:50,false
SWA401,KMCO,MBPV,B38M,12:50,false
DAL2019,KJFK,KMCO,A321,12:51,false
MXY2854,KMCO,KRDU,BCS3,12:52,false
JBU499,KLGA,KMCO,A320,12:53,false
UAL1739,KEWR,KMCO,B739,12:54,false
FFT4190,KCMH,KMCO,A20N,12:55,false
SWA3723,TJSJ,KMCO,B38M,12:55,false
DAL1030,KATL,KMCO,A321,13:00,false
UAL2310,KIAH,KMCO,B739,13:00,false
AVA203,KMCO,SKRG,A320,13:00,false
BWA482,TTPP,KMCO,B38M,13:00,false
AAL2127,KCLT,KMCO,A321,13:01,false
JBU1013,KMCO,MMUN,A320,13:03,false
SWA5068,KDAL,KMCO,B38M,13:05,false
DAL664,KMCO,KATL,A321,13:05,false
AAL2735,KMCO,KBOS,B738,13:06,false
FFT4919,KMCO,KDEN,A321,13:07,false
DAL1747,KDTW,KMCO,B752,13:08,false
FFT2432,KMCO,KLGA,A20N,13:10,false
JBU521,KMCO,MKJS,BCS3,13:11,false
UAL1643,KORD,KMCO,A21N,13:13,false
FFT4685,TJPS,KMCO,A20N,13:13,false
SWA4719,KMCO,KAUS,B737,13:15,false
SWA3618,KMCO,KMSY,B738,13:15,false
DAL1377,KRDU,KMCO,A320,13:15,false
SWA3091,KMCO,KCMH,B38M,13:20,false
SWA1817,KPHX,KMCO,B737,13:20,false
MXY717,KEYW,KMCO,BCS3,13:21,false
JBU1578,KMCO,KBDL,A320,13:22,false
SCX342,KMCO,KMSP,B738,13:25,false
JBU1531,KBOS,KMCO,A320,13:30,false
FFT4454,KIND,KMCO,A21N,13:30,false
SWA3271,KIND,KMCO,B38M,13:30,false
SWA4998,KMCO,TJSJ,B38M,13:30,false
BHS237,MYNN,KMCO,B737,13:30,false
AAL2081,KDFW,KMCO,A21N,13:31,false
UAL2065,KMCO,KIAD,B39M,13:31,false
SWA2587,KMCO,KDCA,B737,13:35,false
SWA272,KMCO,MKJS,B38M,13:35,false
AVA028,SKBO,KMCO,A20N,13:35,false
MXY845,KSWF,KMCO,BCS3,13:39,false
VOI1780,MMGL,KMCO,A21N,13:39,false
FFT1977,KBOS,KMCO,A20N,13:40,false
SWA1180,KHOU,KMCO,B38M,13:40,false
ACA1095,KMCO,CYUL,B38M,13:40,false
JBU2324,KMCO,KDCA,BCS3,13:40,false
DAL1208,KMSP,KMCO,B752,13:40,false
FFT1824,KMCO,TJSJ,A20N,13:44,false
CMP867,MPTO,KMCO,B738,13:44,false
VIR139W,EGCC,KMCO,A333,13:45,false
POE580,KMCO,CYYZ,E295,13:45,false
SWA2605,KMCO,KBNA,B38M,13:45,false
FFT3262,KMCO,KBUF,A320,13:47,false
AAL2125,KPHL,KMCO,A21N,13:47,false
JBU1433,KMCO,TJSJ,A320,13:49,false
SWA5069,KMCO,KDAL,B38M,13:50,false
TAI422,MSLP,KMCO,A320,13:50,false
AAL2062,KDCA,KMCO,A320,13:51,false
FFT3768,KMCO,KRIC,A20N,13:51,false
AAL2127,KMCO,KCLT,A321,13:52,false
FFT1431,KMCO,KMSY,A21N,13:53,false
SWA1530,KMCO,KSTL,B38M,13:55,false
