callsign,origin,destination,aircraft_type,time,cargo
AAL1913,KIAH,KORD,A319,22:01,false
AAL3304,KMIA,KORD,A321,22:01,false
SKW5934,CYYZ,KORD,E75L,22:05,false
ENY4281,KORD,KTUL,E75L,22:05,false
UAL546,KEWR,KORD,B739,22:06,false
ENY4176,KSAT,KORD,E75L,22:07,false
UAL2768,KLGA,KORD,B738,22:12,false
UAL1517,KDFW,KORD,A319,22:13,false
UAL2320,KLAS,KORD,A21N,22:13,false
UAL2229,KBOS,KORD,B39M,22:15,false
ENY3531,KDFW,KORD,E170,22:15,false
AAL1317,KORD,KPDX,B738,22:15,false
UAL651,KFLL,KORD,B739,22:20,false
AAL208,KORD,EIDW,B788,22:20,false
ICE856,KORD,BIKF,B38M,22:25,false
AAL1459,KORD,KSEA,A21N,22:27,false
RPA4363,KORD,KIND,E75S,22:29,false
ENY4102,KDSM,KORD,E170,22:30,false
DLH433,KORD,EDDF,A343,22:30,false
AAL98,KORD,EGLL,B789,22:30,false
SKW4942,KORD,KFSD,CRJ7,22:30,false
AAL1209,KORD,KLAX,B38M,22:30,false
ENY3945,KORD,KMEM,E170,22:30,false
ENY3960,KORD,KXNA,E75L,22:30,false
AAL126,KORD,LEMD,B788,22:30,false
RPA4442,KORD,KDSM,E75S,22:31,false
AAL1096,KORD,KGRR,A319,22:32,false
SKW6426,KORD,KHSV,CRJ7,22:32,false
AAL3326,KORD,KCID,A319,22:35,false
AAL1387,KORD,KDEN,B738,22:35,false
ENY3695,KORD,KMCI,E75L,22:35,false
AAL2786,KORD,KPHX,A321,22:35,false
DAL2806,KLGA,KORD,B739,22:36,false
ENY3706,KORD,KEVV,E170,22:36,false
RPA4472,KORD,KMSP,E75L,22:36,false
SKW6212,KORD,KFWA,CRJ7,22:37,false
ENY3713,KORD,KLSE,E170,22:37,false
DAL2804,KBOS,KORD,BCS3,22:39,false
GTI7134,PANC,KORD,B744,22:40,true
NCA134,PANC,KORD,B744,22:40,true
SKW6287,KORD,KLNK,CRJ7,22:45,false
GTI554,KORD,RKSI,B744,22:45,true
UAL2258,KDEN,KORD,A21N,22:49,false
AZG4872,KORD,EDFH,B744,22:50,true
UPS605,KORD,KSDF,A306,22:56,true
UAL1830,KLGA,KORD,B738,22:58,false
UAL2486,KSAN,KORD,B739,22:59,false
UAL1482,KSFO,KORD,A21N,22:59,false
AAL2718,KLAX,KORD,B738,23:00,false
ENY3790,KORD,KATW,E170,23:00,false
ENY3769,KORD,KCWA,E170,23:00,false
ENY3663,KORD,KGRB,E75L,23:00,false
ENY3728,KORD,KMSN,E170,23:00,false
AAL3198,KORD,KOMA,A319,23:00,false
SKW6396,KORD,KRST,CRJ7,23:00,false
ENY4331,KORD,KSPI,E170,23:00,false
AAL1004,KORD,KSTL,A319,23:00,false
AAL2537,KSFO,KORD,B738,23:00,false
GTI9019,KORD,PANC,B744,23:05,true
SKW4824,KORD,KALO,CRJ7,23:07,false
FDX1247,KORD,KMEM,B763,23:07,true
FFT2791,KMCO,KORD,A21N,23:10,false
UAL787,KIAH,KORD,A21N,23:15,false
ENY3505,KORD,KPIA,E170,23:15,false
UAL212,KLAX,KORD,A21N,23:16,false
DAL1634,KLAX,KORD,B738,23:18,false
UAL2085,KDEN,KORD,A21N,23:19,false
AVA263,KORD,SKBO,A20N,23:20,false
UAL1503,KSEA,KORD,B39M,23:22,false
FFT3345,TJSJ,KORD,A21N,23:27,false
RPA4419,KDCA,KORD,E75S,23:30,false
AAL2057,KLGA,KORD,B38M,23:30,false
AAL1881,KMIA,KORD,A321,23:30,false
ENY3809,KORD,KBMI,E170,23:30,false
ENY3699,KORD,KMLI,E75L,23:30,false
AAL3042,KPHL,KORD,B38M,23:30,false
AAL435,KPHX,KORD,A21N,23:30,false
UAL1738,KIAD,KORD,B39M,23:31,false
UAL1210,KPHX,KORD,B739,23:31,false
CAO1055,PANC,KORD,B77L,23:32,true
ASA1493,KSAN,KORD,B739,23:36,false
DAL2108,KSEA,KORD,B738,23:38,false
AAL2346,KDFW,KORD,B738,23:39,false
JBU863,KFLL,KORD,A320,23:44,false
VOI702,MMMX,KORD,A20N,23:47,false
DAL1199,KATL,KORD,B739,23:53,false
KAL233,PANC,KORD,B748,23:54,true
VIV546,MMGL,KORD,A320,23:55,false
VIV632,MMMY,KORD,A320,23:55,false
ASA538,KSEA,KORD,B739,23:59,false
